Unit,Date,Hour Ending,MWH
WEBBER_S_WSP1,20190121,1300,21.956525
WEBBER_S_WSP1,20190121,1400,21.197125
WEBBER_S_WSP1,20190121,1500,22.7955
WEBBER_S_WSP1,20190121,1600,23.014075
WEBBER_S_WSP1,20190121,1700,17.8009
WEBBER_S_WSP1,20190121,1800,3.337075
WEBBER_S_WSP1,20190121,1900,0
WEBBER_S_WSP1,20190121,2000,0
WEBBER_S_WSP1,20190121,2100,0
WEBBER_S_WSP1,20190121,2200,0
WEBBER_S_WSP1,20190121,2300,0
WEBBER_S_WSP1,20190121,2400,0
WEBBER_S_WSP1,20190122,100,0
WEBBER_S_WSP1,20190122,200,0
WEBBER_S_WSP1,20190122,300,0
WEBBER_S_WSP1,20190122,400,0
WEBBER_S_WSP1,20190122,500,0
WEBBER_S_WSP1,20190122,600,0
WEBBER_S_WSP1,20190122,700,0
WEBBER_S_WSP1,20190122,800,0.18895
WEBBER_S_WSP1,20190122,900,1.531775
WEBBER_S_WSP1,20190122,1000,3.333575
WEBBER_S_WSP1,20190122,1100,2.50855
WEBBER_S_WSP1,20190122,1200,2.81465
WEBBER_S_WSP1,20190122,1300,4.883025
WEBBER_S_WSP1,20190122,1400,5.353675
WEBBER_S_WSP1,20190122,1500,3.384525
WEBBER_S_WSP1,20190122,1600,1.538775
WEBBER_S_WSP1,20190122,1700,0.55195
WEBBER_S_WSP1,20190122,1800,0.17325
WEBBER_S_WSP1,20190122,1900,0
WEBBER_S_WSP1,20190122,2000,0
WEBBER_S_WSP1,20190122,2100,0
WEBBER_S_WSP1,20190122,2200,0
WEBBER_S_WSP1,20190122,2300,0
WEBBER_S_WSP1,20190122,2400,0
WEBBER_S_WSP1,20190123,100,0
WEBBER_S_WSP1,20190123,200,0
WEBBER_S_WSP1,20190123,300,0
WEBBER_S_WSP1,20190123,400,0
WEBBER_S_WSP1,20190123,500,0
WEBBER_S_WSP1,20190123,600,0
WEBBER_S_WSP1,20190123,700,0
WEBBER_S_WSP1,20190123,800,0.090525
WEBBER_S_WSP1,20190123,900,4.596375
WEBBER_S_WSP1,20190123,1000,20.72735
WEBBER_S_WSP1,20190123,1100,19.0793
WEBBER_S_WSP1,20190123,1200,22.249275
WEBBER_S_WSP1,20190123,1300,23.2029
WEBBER_S_WSP1,20190123,1400,23.10035
WEBBER_S_WSP1,20190123,1500,23.9252
WEBBER_S_WSP1,20190123,1600,24.1119
WEBBER_S_WSP1,20190123,1700,19.4629
WEBBER_S_WSP1,20190123,1800,4.060625
WEBBER_S_WSP1,20190123,1900,0
WEBBER_S_WSP1,20190123,2000,0
WEBBER_S_WSP1,20190123,2100,0
WEBBER_S_WSP1,20190123,2200,0
WEBBER_S_WSP1,20190123,2300,0
WEBBER_S_WSP1,20190123,2400,0
WEBBER_S_WSP1,20190124,100,0
WEBBER_S_WSP1,20190124,200,0
WEBBER_S_WSP1,20190124,300,0
WEBBER_S_WSP1,20190124,400,0
WEBBER_S_WSP1,20190124,500,0
WEBBER_S_WSP1,20190124,600,0
WEBBER_S_WSP1,20190124,700,0
WEBBER_S_WSP1,20190124,800,0.879975
WEBBER_S_WSP1,20190124,900,14.1015
WEBBER_S_WSP1,20190124,1000,23.896
WEBBER_S_WSP1,20190124,1100,24.392875
WEBBER_S_WSP1,20190124,1200,23.469975
WEBBER_S_WSP1,20190124,1300,22.3748
WEBBER_S_WSP1,20190124,1400,22.2456
WEBBER_S_WSP1,20190124,1500,23.082675
WEBBER_S_WSP1,20190124,1600,23.2754
WEBBER_S_WSP1,20190124,1700,18.8313
WEBBER_S_WSP1,20190124,1800,4.00355
WEBBER_S_WSP1,20190124,1900,0
WEBBER_S_WSP1,20190124,2000,0
WEBBER_S_WSP1,20190124,2100,0
WEBBER_S_WSP1,20190124,2200,0
WEBBER_S_WSP1,20190124,2300,0
WEBBER_S_WSP1,20190124,2400,0
WEBBER_S_WSP1,20190125,100,0
WEBBER_S_WSP1,20190125,200,0
WEBBER_S_WSP1,20190125,300,0
WEBBER_S_WSP1,20190125,400,0
WEBBER_S_WSP1,20190125,500,0
WEBBER_S_WSP1,20190125,600,0
WEBBER_S_WSP1,20190125,700,0
WEBBER_S_WSP1,20190125,800,0.179675
WEBBER_S_WSP1,20190125,900,1.5424
WEBBER_S_WSP1,20190125,1000,2.65515
WEBBER_S_WSP1,20190125,1100,5.22675
WEBBER_S_WSP1,20190125,1200,19.26585
WEBBER_S_WSP1,20190125,1300,17.563875
WEBBER_S_WSP1,20190125,1400,14.092275
WEBBER_S_WSP1,20190125,1500,13.7978
WEBBER_S_WSP1,20190125,1600,9.147725
WEBBER_S_WSP1,20190125,1700,3.0403
WEBBER_S_WSP1,20190125,1800,0.885625
WEBBER_S_WSP1,20190125,1900,0
WEBBER_S_WSP1,20190125,2000,0
WEBBER_S_WSP1,20190125,2100,0
WEBBER_S_WSP1,20190125,2200,0
WEBBER_S_WSP1,20190125,2300,0
WEBBER_S_WSP1,20190125,2400,0
WEBBER_S_WSP1,20190126,100,0
WEBBER_S_WSP1,20190126,200,0
WEBBER_S_WSP1,20190126,300,0
WEBBER_S_WSP1,20190126,400,0
